PriceList,Catalog,GradeGroup,Price
EQ3 EXW US V8,30137-15,31,793.0
EQ3 EXW US V8,30137-15,40,823.0
EQ3 EXW US V8,30137-15,50,873.0
EQ3 EXW US V8,30137-15,60,923.0
EQ3 EXW US V8,30137-15,70,973.0
EQ3 EXW US V8,30137-15,F,1573.0
EQ3 EXW US V8,30137-15,I,1723.0
EQ3 EXW US V8,30137-15,41,nan
EQ3 EXW US V8,30137-15,42,nan
EQ3 EXW US V8,30137-16,10,723.0
EQ3 EXW US V8,30137-16,20,763.0
EQ3 EXW US V8,30137-16,30,793.0
EQ3 EXW US V8,30137-16,31,793.0
EQ3 EXW US V8,30137-16,40,823.0
EQ3 EXW US V8,30137-16,50,873.0
EQ3 EXW US V8,30137-16,60,923.0
EQ3 EXW US V8,30137-16,70,973.0
EQ3 EXW US V8,30137-16,F,1573.0
EQ3 EXW US V8,30137-16,I,1723.0
EQ3 EXW US V8,30137-16,41,nan
EQ3 EXW US V8,30137-16,42,nan
EQ3 EXW US V8,30137-19,10,720.0
EQ3 EXW US V8,30137-19,20,760.0
EQ3 EXW US V8,30137-19,30,790.0
EQ3 EXW US V8,30137-19,31,790.0
EQ3 EXW US V8,30137-19,40,820.0
EQ3 EXW US V8,30137-19,50,870.0
EQ3 EXW US V8,30137-19,60,920.0
EQ3 EXW US V8,30137-19,70,970.0
EQ3 EXW US V8,30137-19,F,1570.0
EQ3 EXW US V8,30137-19,I,1720.0
EQ3 EXW US V8,30137-19,41,nan
EQ3 EXW US V8,30137-19,42,nan
EQ3 EXW US V8,30137-20,10,720.0
EQ3 EXW US V8,30137-20,20,760.0
EQ3 EXW US V8,30137-20,30,790.0
EQ3 EXW US V8,30137-20,31,790.0
EQ3 EXW US V8,30137-20,40,820.0
EQ3 EXW US V8,30137-20,50,870.0
EQ3 EXW US V8,30137-20,60,920.0
EQ3 EXW US V8,30137-20,70,970.0
EQ3 EXW US V8,30137-20,F,1570.0
EQ3 EXW US V8,30137-20,I,1720.0
EQ3 EXW US V8,30137-20,41,nan
EQ3 EXW US V8,30137-20,42,nan
EQ3 EXW US V8,30137-35,10,724.0
EQ3 EXW US V8,30137-35,20,764.0
EQ3 EXW US V8,30137-35,30,794.0
EQ3 EXW US V8,30137-35,31,794.0
EQ3 EXW US V8,30137-35,40,824.0
EQ3 EXW US V8,30137-35,50,874.0
EQ3 EXW US V8,30137-35,60,924.0
EQ3 EXW US V8,30137-35,70,974.0
EQ3 EXW US V8,30137-35,F,1404.0
EQ3 EXW US V8,30137-35,I,1524.0
EQ3 EXW US V8,30137-35,41,nan
EQ3 EXW US V8,30137-35,42,nan
EQ3 EXW US V8,30137-36,10,724.0
EQ3 EXW US V8,30137-36,20,764.0
EQ3 EXW US V8,30137-36,30,794.0
EQ3 EXW US V8,30137-36,31,794.0
EQ3 EXW US V8,30137-36,40,824.0
EQ3 EXW US V8,30137-36,50,874.0
EQ3 EXW US V8,30137-36,60,924.0
EQ3 EXW US V8,30137-36,70,974.0
EQ3 EXW US V8,30137-36,F,1404.0
EQ3 EXW US V8,30137-36,I,1524.0
EQ3 EXW US V8,30137-36,41,nan
EQ3 EXW US V8,30137-36,42,nan
EQ3 EXW US V8,30137-41,10,66.0
EQ3 EXW US V8,30137-41,20,71.0
EQ3 EXW US V8,30137-41,30,76.0
EQ3 EXW US V8,30137-41,31,76.0
EQ3 EXW US V8,30137-41,40,81.0
EQ3 EXW US V8,30137-41,50,91.0
EQ3 EXW US V8,30137-41,60,101.0
EQ3 EXW US V8,30137-41,70,106.0
EQ3 EXW US V8,30137-41,F,236.0
EQ3 EXW US V8,30137-41,I,266.0
EQ3 EXW US V8,30137-41,41,nan
EQ3 EXW US V8,30137-41,42,nan
EQ3 EXW US V8,30137-64,10,224.0
EQ3 EXW US V8,30137-64,20,244.0
EQ3 EXW US V8,30137-64,30,259.0
EQ3 EXW US V8,30137-64,31,259.0
EQ3 EXW US V8,30137-64,40,279.0
EQ3 EXW US V8,30137-64,50,299.0
EQ3 EXW US V8,30137-64,60,319.0
EQ3 EXW US V8,30137-64,70,339.0
EQ3 EXW US V8,30137-64,F,499.0
EQ3 EXW US V8,30137-64,I,559.0
EQ3 EXW US V8,30137-64,41,224.0
EQ3 EXW US V8,30137-64,42,244.0
EQ3 EXW US V8,30137-71,10,411.0
EQ3 EXW US V8,30137-71,20,431.0
EQ3 EXW US V8,30137-71,30,446.0
