PriceList,Catalog,GradeGroup,Price
EQ3 EXW CA V7,30136-35,40,946.0
EQ3 EXW CA V7,30136-35,50,996.0
EQ3 EXW CA V7,30136-35,60,1046.0
EQ3 EXW CA V7,30136-35,70,1096.0
EQ3 EXW CA V7,30136-35,F,1526.0
EQ3 EXW CA V7,30136-35,I,1646.0
EQ3 EXW CA V7,30136-35,41,nan
EQ3 EXW CA V7,30136-35,42,nan
EQ3 EXW CA V7,30136-36,10,846.0
EQ3 EXW CA V7,30136-36,20,886.0
EQ3 EXW CA V7,30136-36,30,916.0
EQ3 EXW CA V7,30136-36,31,916.0
EQ3 EXW CA V7,30136-36,40,946.0
EQ3 EXW CA V7,30136-36,50,996.0
EQ3 EXW CA V7,30136-36,60,1046.0
EQ3 EXW CA V7,30136-36,70,1096.0
EQ3 EXW CA V7,30136-36,F,1526.0
EQ3 EXW CA V7,30136-36,I,1646.0
EQ3 EXW CA V7,30136-36,41,nan
EQ3 EXW CA V7,30136-36,42,nan
EQ3 EXW CA V7,30136-41,10,97.0
EQ3 EXW CA V7,30136-41,20,102.0
EQ3 EXW CA V7,30136-41,30,107.0
EQ3 EXW CA V7,30136-41,31,107.0
EQ3 EXW CA V7,30136-41,40,112.0
EQ3 EXW CA V7,30136-41,50,122.0
EQ3 EXW CA V7,30136-41,60,132.0
EQ3 EXW CA V7,30136-41,70,137.0
EQ3 EXW CA V7,30136-41,F,267.0
EQ3 EXW CA V7,30136-41,I,297.0
EQ3 EXW CA V7,30136-41,41,nan
EQ3 EXW CA V7,30136-41,42,nan
EQ3 EXW CA V7,30136-64,10,286.0
EQ3 EXW CA V7,30136-64,20,306.0
EQ3 EXW CA V7,30136-64,30,321.0
EQ3 EXW CA V7,30136-64,31,321.0
EQ3 EXW CA V7,30136-64,40,341.0
EQ3 EXW CA V7,30136-64,50,361.0
EQ3 EXW CA V7,30136-64,60,381.0
EQ3 EXW CA V7,30136-64,70,401.0
EQ3 EXW CA V7,30136-64,F,561.0
EQ3 EXW CA V7,30136-64,I,621.0
EQ3 EXW CA V7,30136-64,41,276.0
EQ3 EXW CA V7,30136-64,42,296.0
EQ3 EXW CA V7,30136-71,10,522.0
EQ3 EXW CA V7,30136-71,20,542.0
EQ3 EXW CA V7,30136-71,30,557.0
EQ3 EXW CA V7,30136-71,31,557.0
EQ3 EXW CA V7,30136-71,40,577.0
EQ3 EXW CA V7,30136-71,50,597.0
EQ3 EXW CA V7,30136-71,60,617.0
EQ3 EXW CA V7,30136-71,70,637.0
EQ3 EXW CA V7,30136-71,F,862.0
EQ3 EXW CA V7,30136-71,I,922.0
EQ3 EXW CA V7,30136-71,41,nan
EQ3 EXW CA V7,30136-71,42,nan
EQ3 EXW CA V7,30136-74,10,305.0
EQ3 EXW CA V7,30136-74,20,325.0
EQ3 EXW CA V7,30136-74,30,340.0
EQ3 EXW CA V7,30136-74,31,340.0
EQ3 EXW CA V7,30136-74,40,360.0
EQ3 EXW CA V7,30136-74,50,380.0
EQ3 EXW CA V7,30136-74,60,400.0
EQ3 EXW CA V7,30136-74,70,420.0
EQ3 EXW CA V7,30136-74,F,580.0
EQ3 EXW CA V7,30136-74,I,640.0
EQ3 EXW CA V7,30136-74,41,315.0
EQ3 EXW CA V7,30136-74,42,335.0
EQ3 EXW CA V7,30137-01,10,1129.0
EQ3 EXW CA V7,30137-01,20,1169.0
EQ3 EXW CA V7,30137-01,30,1199.0
EQ3 EXW CA V7,30137-01,31,1199.0
EQ3 EXW CA V7,30137-01,40,1229.0
EQ3 EXW CA V7,30137-01,50,1279.0
EQ3 EXW CA V7,30137-01,60,1329.0
EQ3 EXW CA V7,30137-01,70,1379.0
EQ3 EXW CA V7,30137-01,F,1979.0
EQ3 EXW CA V7,30137-01,I,2129.0
EQ3 EXW CA V7,30137-01,41,nan
EQ3 EXW CA V7,30137-01,42,nan
EQ3 EXW CA V7,30137-03,10,1085.0
EQ3 EXW CA V7,30137-03,20,1125.0
EQ3 EXW CA V7,30137-03,30,1155.0
EQ3 EXW CA V7,30137-03,31,1155.0
EQ3 EXW CA V7,30137-03,40,1185.0
EQ3 EXW CA V7,30137-03,50,1235.0
EQ3 EXW CA V7,30137-03,60,1285.0
EQ3 EXW CA V7,30137-03,70,1335.0
EQ3 EXW CA V7,30137-03,F,1935.0
EQ3 EXW CA V7,30137-03,I,2085.0
EQ3 EXW CA V7,30137-03,41,nan
EQ3 EXW CA V7,30137-03,42,nan
EQ3 EXW CA V7,30137-06,10,804.0
EQ3 EXW CA V7,30137-06,20,824.0
EQ3 EXW CA V7,30137-06,30,839.0
EQ3 EXW CA V7,30137-06,31,839.0
EQ3 EXW CA V7,30137-06,40,859.0
EQ3 EXW CA V7,30137-06,50,879.0
EQ3 EXW CA V7,30137-06,60,899.0
EQ3 EXW CA V7,30137-06,70,919.0
EQ3 EXW CA V7,30137-06,F,1144.0
EQ3 EXW CA V7,30137-06,I,1204.0
EQ3 EXW CA V7,30137-06,41,nan
EQ3 EXW CA V7,30137-06,42,nan
EQ3 EXW CA V7,30137-07,10,941.0
EQ3 EXW CA V7,30137-07,20,981.0
EQ3 EXW CA V7,30137-07,30,1011.0
EQ3 EXW CA V7,30137-07,31,1011.0
EQ3 EXW CA V7,30137-07,40,1041.0
EQ3 EXW CA V7,30137-07,50,1091.0
EQ3 EXW CA V7,30137-07,60,1141.0
EQ3 EXW CA V7,30137-07,70,1191.0
EQ3 EXW CA V7,30137-07,F,1791.0
EQ3 EXW CA V7,30137-07,I,1941.0
EQ3 EXW CA V7,30137-07,41,nan
EQ3 EXW CA V7,30137-07,42,nan
EQ3 EXW CA V7,30137-08,10,941.0
EQ3 EXW CA V7,30137-08,20,981.0
EQ3 EXW CA V7,30137-08,30,1011.0
EQ3 EXW CA V7,30137-08,31,1011.0
EQ3 EXW CA V7,30137-08,40,1041.0
EQ3 EXW CA V7,30137-08,50,1091.0
EQ3 EXW CA V7,30137-08,60,1141.0
EQ3 EXW CA V7,30137-08,70,1191.0
EQ3 EXW CA V7,30137-08,F,1791.0
EQ3 EXW CA V7,30137-08,I,1941.0
EQ3 EXW CA V7,30137-08,41,nan
EQ3 EXW CA V7,30137-08,42,nan
EQ3 EXW CA V7,30137-09,10,619.0
EQ3 EXW CA V7,30137-09,20,639.0
EQ3 EXW CA V7,30137-09,30,654.0
EQ3 EXW CA V7,30137-09,31,654.0
EQ3 EXW CA V7,30137-09,40,689.0
EQ3 EXW CA V7,30137-09,50,724.0
EQ3 EXW CA V7,30137-09,60,759.0
EQ3 EXW CA V7,30137-09,70,794.0
EQ3 EXW CA V7,30137-09,F,1214.0
EQ3 EXW CA V7,30137-09,I,1319.0
EQ3 EXW CA V7,30137-09,41,nan
EQ3 EXW CA V7,30137-09,42,nan
EQ3 EXW CA V7,30137-10,10,472.0
EQ3 EXW CA V7,30137-10,20,492.0
EQ3 EXW CA V7,30137-10,30,507.0
EQ3 EXW CA V7,30137-10,31,507.0
EQ3 EXW CA V7,30137-10,40,527.0
EQ3 EXW CA V7,30137-10,50,547.0
EQ3 EXW CA V7,30137-10,60,567.0
EQ3 EXW CA V7,30137-10,70,587.0
EQ3 EXW CA V7,30137-10,F,812.0
EQ3 EXW CA V7,30137-10,I,872.0
EQ3 EXW CA V7,30137-10,41,nan
EQ3 EXW CA V7,30137-10,42,nan
EQ3 EXW CA V7,30137-11,10,567.0
EQ3 EXW CA V7,30137-11,20,587.0
EQ3 EXW CA V7,30137-11,30,602.0
EQ3 EXW CA V7,30137-11,31,602.0
EQ3 EXW CA V7,30137-11,40,637.0
EQ3 EXW CA V7,30137-11,50,672.0
EQ3 EXW CA V7,30137-11,60,707.0
EQ3 EXW CA V7,30137-11,70,742.0
EQ3 EXW CA V7,30137-11,F,1162.0
EQ3 EXW CA V7,30137-11,I,1267.0
EQ3 EXW CA V7,30137-11,41,nan
EQ3 EXW CA V7,30137-11,42,nan
EQ3 EXW CA V7,30137-12,10,567.0
EQ3 EXW CA V7,30137-12,20,587.0
EQ3 EXW CA V7,30137-12,30,602.0
EQ3 EXW CA V7,30137-12,31,602.0
EQ3 EXW CA V7,30137-12,40,637.0
EQ3 EXW CA V7,30137-12,50,672.0
EQ3 EXW CA V7,30137-12,60,707.0
EQ3 EXW CA V7,30137-12,70,742.0
EQ3 EXW CA V7,30137-12,F,1162.0
EQ3 EXW CA V7,30137-12,I,1267.0
EQ3 EXW CA V7,30137-12,41,nan
EQ3 EXW CA V7,30137-12,42,nan
EQ3 EXW CA V7,30137-14,10,845.0
EQ3 EXW CA V7,30137-14,20,865.0
EQ3 EXW CA V7,30137-14,30,880.0
EQ3 EXW CA V7,30137-14,31,880.0
EQ3 EXW CA V7,30137-14,40,895.0
EQ3 EXW CA V7,30137-14,50,915.0
EQ3 EXW CA V7,30137-14,60,935.0
EQ3 EXW CA V7,30137-14,70,955.0
EQ3 EXW CA V7,30137-14,F,1525.0
EQ3 EXW CA V7,30137-14,I,1645.0
EQ3 EXW CA V7,30137-14,41,nan
EQ3 EXW CA V7,30137-14,42,nan
EQ3 EXW CA V7,30137-15,10,845.0
EQ3 EXW CA V7,30137-15,20,885.0
EQ3 EXW CA V7,30137-15,30,915.0
EQ3 EXW CA V7,30137-15,31,915.0
EQ3 EXW CA V7,30137-15,40,945.0
EQ3 EXW CA V7,30137-15,50,995.0
EQ3 EXW CA V7,30137-15,60,1045.0
EQ3 EXW CA V7,30137-15,70,1095.0
EQ3 EXW CA V7,30137-15,F,1695.0
EQ3 EXW CA V7,30137-15,I,1845.0
EQ3 EXW CA V7,30137-15,41,nan
EQ3 EXW CA V7,30137-15,42,nan
EQ3 EXW CA V7,30137-16,10,845.0
EQ3 EXW CA V7,30137-16,20,885.0
EQ3 EXW CA V7,30137-16,30,915.0
EQ3 EXW CA V7,30137-16,31,915.0
EQ3 EXW CA V7,30137-16,40,945.0
EQ3 EXW CA V7,30137-16,50,995.0
EQ3 EXW CA V7,30137-16,60,1045.0
EQ3 EXW CA V7,30137-16,70,1095.0
EQ3 EXW CA V7,30137-16,F,1695.0
EQ3 EXW CA V7,30137-16,I,1845.0
EQ3 EXW CA V7,30137-16,41,nan
EQ3 EXW CA V7,30137-16,42,nan
EQ3 EXW CA V7,30137-19,10,843.0
EQ3 EXW CA V7,30137-19,20,883.0
EQ3 EXW CA V7,30137-19,30,913.0
EQ3 EXW CA V7,30137-19,31,913.0
EQ3 EXW CA V7,30137-19,40,943.0
EQ3 EXW CA V7,30137-19,50,993.0
EQ3 EXW CA V7,30137-19,60,1043.0
EQ3 EXW CA V7,30137-19,70,1093.0
EQ3 EXW CA V7,30137-19,F,1693.0
EQ3 EXW CA V7,30137-19,I,1843.0
EQ3 EXW CA V7,30137-19,41,nan
EQ3 EXW CA V7,30137-19,42,nan
EQ3 EXW CA V7,30137-20,10,843.0
EQ3 EXW CA V7,30137-20,20,883.0
EQ3 EXW CA V7,30137-20,30,913.0
EQ3 EXW CA V7,30137-20,31,913.0
EQ3 EXW CA V7,30137-20,40,943.0
EQ3 EXW CA V7,30137-20,50,993.0
EQ3 EXW CA V7,30137-20,60,1043.0
EQ3 EXW CA V7,30137-20,70,1093.0
EQ3 EXW CA V7,30137-20,F,1693.0
EQ3 EXW CA V7,30137-20,I,1843.0
EQ3 EXW CA V7,30137-20,41,nan
EQ3 EXW CA V7,30137-20,42,nan
EQ3 EXW CA V7,30137-35,10,845.0
EQ3 EXW CA V7,30137-35,20,885.0
EQ3 EXW CA V7,30137-35,30,915.0
EQ3 EXW CA V7,30137-35,31,915.0
EQ3 EXW CA V7,30137-35,40,945.0
EQ3 EXW CA V7,30137-35,50,995.0
EQ3 EXW CA V7,30137-35,60,1045.0
EQ3 EXW CA V7,30137-35,70,1095.0
EQ3 EXW CA V7,30137-35,F,1525.0
EQ3 EXW CA V7,30137-35,I,1645.0
EQ3 EXW CA V7,30137-35,41,nan
EQ3 EXW CA V7,30137-35,42,nan
EQ3 EXW CA V7,30137-36,10,845.0
EQ3 EXW CA V7,30137-36,20,885.0
EQ3 EXW CA V7,30137-36,30,915.0
EQ3 EXW CA V7,30137-36,31,915.0
EQ3 EXW CA V7,30137-36,40,945.0
EQ3 EXW CA V7,30137-36,50,995.0
EQ3 EXW CA V7,30137-36,60,1045.0
EQ3 EXW CA V7,30137-36,70,1095.0
