PriceList,Catalog,GradeGroup,Price
UFCA 1711E V5,30137-03,30,1220.0
UFCA 1711E V5,30137-03,40,1250.0
UFCA 1711E V5,30137-03,50,1300.0
UFCA 1711E V5,30137-03,60,1350.0
UFCA 1711E V5,30137-03,70,1400.0
UFCA 1711E V5,30137-03,F,2000.0
UFCA 1711E V5,30137-03,I,2150.0
UFCA 1711E V5,30137-03,41,nan
UFCA 1711E V5,30137-03,42,nan
UFCA 1711E V5,30137-06,10,850.0
UFCA 1711E V5,30137-06,20,870.0
UFCA 1711E V5,30137-06,30,885.0
UFCA 1711E V5,30137-06,40,905.0
UFCA 1711E V5,30137-06,50,925.0
UFCA 1711E V5,30137-06,60,945.0
UFCA 1711E V5,30137-06,70,965.0
UFCA 1711E V5,30137-06,F,1190.0
UFCA 1711E V5,30137-06,I,1250.0
UFCA 1711E V5,30137-06,41,nan
UFCA 1711E V5,30137-06,42,nan
UFCA 1711E V5,30137-07,10,1000.0
UFCA 1711E V5,30137-07,20,1040.0
UFCA 1711E V5,30137-07,30,1070.0
UFCA 1711E V5,30137-07,40,1100.0
UFCA 1711E V5,30137-07,50,1150.0
UFCA 1711E V5,30137-07,60,1200.0
UFCA 1711E V5,30137-07,70,1250.0
UFCA 1711E V5,30137-07,F,1850.0
UFCA 1711E V5,30137-07,I,2000.0
UFCA 1711E V5,30137-07,41,nan
UFCA 1711E V5,30137-07,42,nan
UFCA 1711E V5,30137-08,10,1000.0
UFCA 1711E V5,30137-08,20,1040.0
UFCA 1711E V5,30137-08,30,1070.0
UFCA 1711E V5,30137-08,40,1100.0
UFCA 1711E V5,30137-08,50,1150.0
UFCA 1711E V5,30137-08,60,1200.0
UFCA 1711E V5,30137-08,70,1250.0
UFCA 1711E V5,30137-08,F,1850.0
UFCA 1711E V5,30137-08,I,2000.0
UFCA 1711E V5,30137-08,41,nan
UFCA 1711E V5,30137-08,42,nan
UFCA 1711E V5,30137-09,10,650.0
UFCA 1711E V5,30137-09,20,670.0
UFCA 1711E V5,30137-09,30,685.0
UFCA 1711E V5,30137-09,40,720.0
UFCA 1711E V5,30137-09,50,755.0
UFCA 1711E V5,30137-09,60,790.0
UFCA 1711E V5,30137-09,70,825.0
UFCA 1711E V5,30137-09,F,1245.0
UFCA 1711E V5,30137-09,I,1350.0
UFCA 1711E V5,30137-09,41,nan
UFCA 1711E V5,30137-09,42,nan
UFCA 1711E V5,30137-10,10,500.0
UFCA 1711E V5,30137-10,20,520.0
UFCA 1711E V5,30137-10,30,535.0
UFCA 1711E V5,30137-10,40,555.0
UFCA 1711E V5,30137-10,50,575.0
UFCA 1711E V5,30137-10,60,595.0
UFCA 1711E V5,30137-10,70,615.0
UFCA 1711E V5,30137-10,F,840.0
UFCA 1711E V5,30137-10,I,900.0
UFCA 1711E V5,30137-10,41,nan
UFCA 1711E V5,30137-10,42,nan
UFCA 1711E V5,30137-11,10,600.0
UFCA 1711E V5,30137-11,20,620.0
UFCA 1711E V5,30137-11,30,635.0
UFCA 1711E V5,30137-11,40,670.0
UFCA 1711E V5,30137-11,50,705.0
UFCA 1711E V5,30137-11,60,740.0
UFCA 1711E V5,30137-11,70,775.0
UFCA 1711E V5,30137-11,F,1195.0
UFCA 1711E V5,30137-11,I,1300.0
UFCA 1711E V5,30137-11,41,nan
UFCA 1711E V5,30137-11,42,nan
UFCA 1711E V5,30137-12,10,600.0
UFCA 1711E V5,30137-12,20,620.0
UFCA 1711E V5,30137-12,30,635.0
UFCA 1711E V5,30137-12,40,670.0
UFCA 1711E V5,30137-12,50,705.0
UFCA 1711E V5,30137-12,60,740.0
UFCA 1711E V5,30137-12,70,775.0
UFCA 1711E V5,30137-12,F,1195.0
UFCA 1711E V5,30137-12,I,1300.0
UFCA 1711E V5,30137-12,41,nan
UFCA 1711E V5,30137-12,42,nan
UFCA 1711E V5,30137-14,10,900.0
UFCA 1711E V5,30137-14,20,920.0
UFCA 1711E V5,30137-14,30,935.0
UFCA 1711E V5,30137-14,40,950.0
UFCA 1711E V5,30137-14,50,970.0
UFCA 1711E V5,30137-14,60,990.0
UFCA 1711E V5,30137-14,70,1010.0
UFCA 1711E V5,30137-14,F,1580.0
UFCA 1711E V5,30137-14,I,1700.0
UFCA 1711E V5,30137-14,41,nan
UFCA 1711E V5,30137-14,42,nan
UFCA 1711E V5,30137-15,10,900.0
UFCA 1711E V5,30137-15,20,940.0
UFCA 1711E V5,30137-15,30,970.0
UFCA 1711E V5,30137-15,40,1000.0
UFCA 1711E V5,30137-15,50,1050.0
UFCA 1711E V5,30137-15,60,1100.0
UFCA 1711E V5,30137-15,70,1150.0
UFCA 1711E V5,30137-15,F,1750.0
UFCA 1711E V5,30137-15,I,1900.0
UFCA 1711E V5,30137-15,41,nan
UFCA 1711E V5,30137-15,42,nan
UFCA 1711E V5,30137-16,10,900.0
UFCA 1711E V5,30137-16,20,940.0
UFCA 1711E V5,30137-16,30,970.0
UFCA 1711E V5,30137-16,40,1000.0
UFCA 1711E V5,30137-16,50,1050.0
UFCA 1711E V5,30137-16,60,1100.0
UFCA 1711E V5,30137-16,70,1150.0
UFCA 1711E V5,30137-16,F,1750.0
UFCA 1711E V5,30137-16,I,1900.0
UFCA 1711E V5,30137-16,41,nan
UFCA 1711E V5,30137-16,42,nan
UFCA 1711E V5,30137-19,10,900.0
UFCA 1711E V5,30137-19,20,940.0
UFCA 1711E V5,30137-19,30,970.0
UFCA 1711E V5,30137-19,40,1000.0
UFCA 1711E V5,30137-19,50,1050.0
UFCA 1711E V5,30137-19,60,1100.0
UFCA 1711E V5,30137-19,70,1150.0
UFCA 1711E V5,30137-19,F,1750.0
UFCA 1711E V5,30137-19,I,1900.0
UFCA 1711E V5,30137-19,41,nan
UFCA 1711E V5,30137-19,42,nan
UFCA 1711E V5,30137-20,10,900.0
UFCA 1711E V5,30137-20,20,940.0
UFCA 1711E V5,30137-20,30,970.0
UFCA 1711E V5,30137-20,40,1000.0
UFCA 1711E V5,30137-20,50,1050.0
UFCA 1711E V5,30137-20,60,1100.0
UFCA 1711E V5,30137-20,70,1150.0
UFCA 1711E V5,30137-20,F,1750.0
UFCA 1711E V5,30137-20,I,1900.0
UFCA 1711E V5,30137-20,41,nan
UFCA 1711E V5,30137-20,42,nan
UFCA 1711E V5,30137-35,10,900.0
UFCA 1711E V5,30137-35,20,940.0
UFCA 1711E V5,30137-35,30,970.0
UFCA 1711E V5,30137-35,40,1000.0
UFCA 1711E V5,30137-35,50,1050.0
UFCA 1711E V5,30137-35,60,1100.0
UFCA 1711E V5,30137-35,70,1150.0
UFCA 1711E V5,30137-35,F,1580.0
UFCA 1711E V5,30137-35,I,1700.0
UFCA 1711E V5,30137-35,41,nan
UFCA 1711E V5,30137-35,42,nan
UFCA 1711E V5,30137-36,10,900.0
UFCA 1711E V5,30137-36,20,940.0
UFCA 1711E V5,30137-36,30,970.0
UFCA 1711E V5,30137-36,40,1000.0
UFCA 1711E V5,30137-36,50,1050.0
UFCA 1711E V5,30137-36,60,1100.0
UFCA 1711E V5,30137-36,70,1150.0
UFCA 1711E V5,30137-36,F,1580.0
UFCA 1711E V5,30137-36,I,1700.0
UFCA 1711E V5,30137-36,41,nan
UFCA 1711E V5,30137-36,42,nan
UFCA 1711E V5,30137-41,10,100.0
UFCA 1711E V5,30137-41,20,105.0
UFCA 1711E V5,30137-41,30,110.0
UFCA 1711E V5,30137-41,40,115.0
UFCA 1711E V5,30137-41,50,125.0
UFCA 1711E V5,30137-41,60,135.0
UFCA 1711E V5,30137-41,70,140.0
UFCA 1711E V5,30137-41,F,270.0
UFCA 1711E V5,30137-41,I,300.0
UFCA 1711E V5,30137-41,41,nan
UFCA 1711E V5,30137-41,42,nan
UFCA 1711E V5,30137-64,10,300.0
UFCA 1711E V5,30137-64,20,320.0
UFCA 1711E V5,30137-64,30,335.0
UFCA 1711E V5,30137-64,40,355.0
UFCA 1711E V5,30137-64,50,375.0
UFCA 1711E V5,30137-64,60,395.0
UFCA 1711E V5,30137-64,70,415.0
UFCA 1711E V5,30137-64,F,575.0
UFCA 1711E V5,30137-64,I,635.0
UFCA 1711E V5,30137-64,41,290.0
UFCA 1711E V5,30137-64,42,310.0
UFCA 1711E V5,30137-71,10,550.0
UFCA 1711E V5,30137-71,20,570.0
UFCA 1711E V5,30137-71,30,585.0
UFCA 1711E V5,30137-71,40,605.0
UFCA 1711E V5,30137-71,50,625.0
UFCA 1711E V5,30137-71,60,645.0
UFCA 1711E V5,30137-71,70,665.0
UFCA 1711E V5,30137-71,F,890.0
UFCA 1711E V5,30137-71,I,950.0
UFCA 1711E V5,30137-71,41,nan
